Fid,lat,lon,street,region,traffic_date_time,junction_no,vechile_type,no_of_vehicles,Label
10.42.0.211-10.42.0.1-48152-53-17,40.86704687,-73.89631458,east kingsbridge road,Bronx,2022-08-17T22:47:22.200Z,2,Car,13,0
10.42.0.1-10.42.0.42-53-61525-17,40.86428349,-73.89432275,east kingsbridge road,Bronx,2022-08-17T22:46:05.430Z,2,Bus,19,1
10.42.0.151-10.42.0.1-11152-53-17,40.86654784,-73.89538244,east kingsbridge road,Bronx,2022-08-17T22:43:56.920Z,2,Motorcycle ,26,0
10.42.0.211-10.42.0.1-62994-53-17,40.86659325,-73.89534414,east kingsbridge road,Bronx,2022-08-17T22:35:39.684Z,2,Car,37,0
172.217.12.202-10.42.0.211-443-57200-6,40.86647609,-73.89542255,east kingsbridge road,Bronx,2022-08-17T22:32:19.010Z,2,Car,35,1
172.217.12.174-10.42.0.151-443-34132-6,40.86665523,-73.89528663,east kingsbridge road,Bronx,2022-08-17T22:19:29.720Z,2,Car,27,1
222.73.28.96-10.42.0.151-80-55682-6,40.87883519,-73.8828925,east mosholu parkway north,Bronx,2022-08-17T22:18:05.050Z,1,Car,31,1
172.217.10.142-10.42.0.211-443-55322-6,40.87861431,-73.88489313,east mosholu parkway south,Bronx,2022-08-17T22:09:56.702Z,2,Taxi,29,1
10.42.0.211-31.13.69.197-54780-443-6,40.87910998,-73.8854121,east mosholu parkway south,Bronx,2022-08-17T22:05:25.620Z,2,Car,25,0
172.217.12.174-10.42.0.42-443-34453-6,40.87940141,-73.88555761,east mosholu parkway south,Bronx,2022-08-17T22:01:22.760Z,1,Car,22,0
10.42.0.211-10.42.0.1-23546-53-17,40.84398708,-73.91385942,east mt eden avenue,Bronx,2022-08-17T21:46:30.360Z,2,Car,23,0
205.185.216.10-10.42.0.211-80-40652-6,40.84355035,-73.91298216,east mt eden avenue,Bronx,2022-08-17T21:43:24.350Z,2,Car,24,0
157.55.130.151-10.42.0.211-443-60774-17,40.84365328,-73.91290147,east mt eden avenue,Bronx,2022-08-17T21:40:13.770Z,1,Car,24,1
169.45.248.175-10.42.0.151-5222-48743-6,40.8426758,-73.90684689,east mt eden avenue,Bronx,2022-08-17T21:30:28.919Z,2,Car,24,0
10.42.0.151-10.42.0.1-44917-53-17,40.83995256,-73.87836985,east tremont avenue,Bronx,2022-08-17T21:27:33.100Z,2,Car,27,1
10.42.0.211-69.147.82.60-42854-443-6,40.84838073,-73.9020485,east tremont avenue,Bronx,2022-08-17T21:27:09.850Z,1,Car,23,1
10.42.0.211-115.239.210.141-59981-80-6,40.84051873,-73.8415885,east tremont avenue,Bronx,2022-08-17T21:23:25.953Z,2,Car,17,0
173.194.206.188-10.42.0.151-5228-41206-6,40.84209149,-73.8441174,east tremont avenue,Bronx,2022-08-17T21:20:06.750Z,2,Car,15,0
10.42.0.1-10.42.0.42-53-17856-17,40.84216956,-73.84396807,east tremont avenue,Bronx,2022-08-17T21:19:22.360Z,2,Car,19,0
10.42.0.151-23.66.240.213-55041-80-6,40.83999764,-73.87831151,east tremont avenue,Bronx,2022-08-17T21:16:55.764Z,1,Goods vehicle,16,1
172.217.10.238-10.42.0.42-443-47992-6,40.84190848,-73.84370709,east tremont avenue,Bronx,2022-08-17T21:08:51.280Z,2,Pedal cycle,11,1
10.42.0.151-64.71.142.124-52678-443-6,40.84152935,-73.84338961,east tremont avenue,Bronx,2022-08-17T20:57:45.311Z,2,Car,10,1
172.217.3.106-10.42.0.151-443-49602-6,40.84853379,-73.90243118,east tremont avenue,Bronx,2022-08-17T20:49:41.070Z,2,Car,15,1
175.100.207.233-10.42.0.151-80-52188-6,40.84259528,-73.85231294,east tremont avenue,Bronx,2022-08-17T20:48:27.090Z,2,Bus,14,1
205.204.101.47-10.42.0.42-443-39870-6,40.84288907,-73.84932992,east tremont avenue,Bronx,2022-08-17T20:33:41.350Z,2,Motorcycle ,15,1
219.142.78.162-10.42.0.211-80-60519-6,40.84297416,-73.84935608,east tremont avenue,Bronx,2022-08-17T20:32:33.960Z,2,Car,22,1
10.42.0.211-47.88.68.21-57241-443-6,40.84115959,-73.86439259,east tremont avenue,Bronx,2022-08-17T20:25:31.170Z,2,Car,30,1
10.42.0.1-10.42.0.42-53-33315-17,40.85032846,-73.906979,east tremont avenue,Bronx,2022-08-17T20:22:58.010Z,2,Car,31,1
192.229.163.180-10.42.0.211-443-49983-6,40.8503719,-73.90690856,east tremont avenue,Bronx,2022-08-17T20:14:59.880Z,2,Car,24,1
172.217.6.227-10.42.0.211-443-37491-6,40.84177569,-73.84355189,east tremont avenue,Bronx,2022-08-17T20:13:17.720Z,2,Taxi,27,0
10.42.0.151-119.167.164.25-42320-80-6,40.84020696,-73.87980294,east tremont avenue,Bronx,2022-08-17T20:09:47.462Z,2,Car,24,1
10.42.0.211-10.42.0.1-57006-53-17,40.84106552,-73.86434545,east tremont avenue,Bronx,2022-08-17T20:08:00.444Z,2,Car,21,1
180.149.153.187-10.42.0.211-80-59882-6,40.85030237,-73.9070491,east tremont avenue,Bronx,2022-08-17T20:07:09.430Z,2,Car,20,1
10.42.0.211-23.21.95.195-57428-443-6,40.85042592,-73.90683955,east tremont avenue,Bronx,2022-08-17T20:06:45.984Z,2,Bus,22,0
10.42.0.151-31.13.69.203-34452-443-6,40.84869451,-73.90338858,east tremont avenue,Bronx,2022-08-17T20:05:24.581Z,2,Truck,22,0
172.217.7.2-10.42.0.211-443-33400-6,40.84874459,-73.903373,east tremont avenue,Bronx,2022-08-17T20:03:46.580Z,2,School Bus,22,1
10.42.0.211-10.42.0.1-57936-53-17,40.8186389,-73.91193841,hegney place,Bronx,2022-08-17T20:01:14.940Z,2,Goods vehicle,18,1
10.42.0.211-23.206.173.182-50874-80-6,40.82914833,-73.90810397,gouverneur place,Bronx,2022-08-17T20:00:10.259Z,1,Pedal cycle,21,1
202.77.129.161-10.42.0.211-80-48856-6,40.8530908,-73.91911094,fordham place,Bronx,2022-08-17T19:57:10.395Z,3,Car,23,0
10.42.0.42-23.208.168.108-33181-443-6,40.85570911,-73.91493955,hennessy place,Bronx,2022-08-17T19:51:48.550Z,3,Goods vehicle ,13,1
202.77.129.150-10.42.0.151-80-51630-6,40.87953584,-73.91387941,edgehill avenue,Bronx,2022-08-17T19:47:48.990Z,3,Car,13,1
163.177.151.166-10.42.0.211-443-43511-6,40.87966058,-73.91379422,edgehill avenue,Bronx,2022-08-17T19:43:03.500Z,2,Bus,12,0
10.42.0.1-10.42.0.42-53-54551-17,40.88135615,-73.91200458,edgehill avenue,Bronx,2022-08-17T19:35:47.840Z,2,Motorcycle ,9,0
10.42.0.151-31.13.80.5-52238-443-6,40.82466844,-73.8977965,hall place,Bronx,2022-08-17T19:27:28.210Z,2,Car,10,1
10.42.0.211-23.208.168.108-46513-443-6,40.81795799,-73.88739234,gilbert place,Bronx,2022-08-17T19:19:32.050Z,2,Car,8,1
10.42.0.1-10.42.0.42-53-58530-17,40.82324116,-73.87983535,evergreen avenue,Bronx,2022-08-17T19:17:30.138Z,2,Car,10,0
10.42.0.42-106.11.93.16-46099-443-6,40.82349091,-73.87798644,elder avenue,Bronx,2022-08-17T19:16:06.340Z,2,Car,8,0
10.42.0.211-31.13.80.52-33903-80-6,40.84384541,-73.89100251,fairmount place,Bronx,2022-08-17T19:15:19.420Z,1,Goods vehicle,10,1
10.42.0.211-34.204.254.35-50780-443-6,40.88056249,-73.90471104,godwin terrace,Bronx,2022-08-17T19:07:45.846Z,1,Pedal cycle,13,1
10.42.0.151-72.21.207.148-35575-443-6,40.85518058,-73.89710069,folin street,Bronx,2022-08-17T19:06:46.640Z,4,Car,17,0
175.100.207.233-10.42.0.211-80-51341-6,40.85403868,-73.89333485,fletcher place,Bronx,2022-08-17T19:01:11.761Z,4,Goods vehicle ,17,0
10.42.0.1-10.42.0.42-53-20158-17,40.86017446,-73.89485072,elm place,Bronx,2022-08-17T18:52:33.750Z,4,Car,14,0
10.42.0.211-64.71.142.110-41483-443-6,40.88234541,-73.88819029,goulden avenue,Bronx,2022-08-17T18:50:51.750Z,4,Bus,15,0
172.217.9.234-10.42.0.211-443-55747-6,40.88329313,-73.88319231,gates place,Bronx,2022-08-17T18:49:50.500Z,2,Motorcycle ,15,1
10.42.0.211-106.11.129.143-47982-80-6,40.82569808,-73.87065009,fteley avenue,Bronx,2022-08-17T18:34:59.350Z,2,Car,16,0
10.42.0.151-10.42.0.1-3686-53-17,40.81718949,-73.84549753,effingham avenue,Bronx,2022-08-17T18:34:15.870Z,1,Car,13,0
10.42.0.211-111.206.25.159-48436-80-6,40.83612662,-73.86700693,guion place,Bronx,2022-08-17T18:23:28.360Z,2,Car,13,0
10.42.0.211-104.244.42.66-34952-443-6,40.84441795,-73.868894,fillmore street,Bronx,2022-08-17T18:22:39.550Z,2,Car,15,0
10.42.0.211-61.174.50.211-38024-8080-6,40.84202653,-73.85083642,fuller street,Bronx,2022-08-17T18:21:22.931Z,2,Taxi,19,0
198.11.189.2-10.42.0.211-443-40520-6,40.83576318,-73.84526296,green avenue,Bronx,2022-08-17T18:21:06.710Z,2,Car,21,0
10.42.0.211-112.80.248.187-50806-80-6,40.83771865,-73.84117214,halsey street,Bronx,2022-08-17T18:20:20.500Z,2,Car,16,0
192.229.163.180-10.42.0.151-443-53680-6,40.84322182,-73.83893782,fink avenue,Bronx,2022-08-17T18:19:29.900Z,3,Car,14,1
172.217.12.195-10.42.0.151-443-47206-6,40.86353943,-73.84174307,fielding street,Bronx,2022-08-17T18:06:31.250Z,3,Car,16,0
10.42.0.151-121.29.54.163-36792-80-6,40.86429007,-73.84171052,hawthorne street,Bronx,2022-08-17T18:06:01.580Z,3,Car,16,1
172.217.12.195-10.42.0.211-443-43377-6,40.8781628,-73.84004096,ely avenue,Bronx,2022-08-17T18:05:26.757Z,2,Motorcycle ,15,0
157.240.2.20-10.42.0.42-443-48725-6,40.82020364,-73.8163266,gerber place,Bronx,2022-08-17T18:04:07.880Z,2,Lorry,12,1
10.42.0.151-90.198.152.86-43477-60765-17,40.81449688,-73.80652783,hatting place,Bronx,2022-08-17T17:51:48.360Z,2,Car,8,0
10.42.0.42-23.194.140.226-54739-80-6,40.81386268,-73.8061195,glennon place,Bronx,2022-08-17T17:50:43.321Z,2,Bus,10,1
172.217.10.238-10.42.0.151-443-55682-6,40.81326784,-73.80564113,giegerich place,Bronx,2022-08-17T17:46:39.850Z,1,Motorcycle ,9,0
10.42.0.211-104.94.222.37-36099-80-6,40.81183864,-73.8038467,fearn place,Bronx,2022-08-17T17:44:20.810Z,1,Car,8,0
202.77.129.150-10.42.0.211-443-56822-6,40.84088763,-73.83377491,george street,Bronx,2022-08-17T17:40:19.880Z,2,Car,10,1
10.42.0.151-31.13.71.52-33244-443-6,40.83487553,-73.82780866,haskin street,Bronx,2022-08-17T17:40:01.427Z,2,Goods vehicle ,13,0
182.22.25.124-10.42.0.211-443-54058-6,40.83236745,-73.8257245,greene place,Bronx,2022-08-17T17:27:51.130Z,2,Car,15,1
10.42.0.211-10.42.0.1-23319-53-17,40.83986443,-73.82275407,ellis place,Bronx,2022-08-17T17:26:11.010Z,2,Car,19,0
10.42.0.211-103.43.91.12-44085-443-6,40.86476977,-73.82424454,einstein loop south,Bronx,2022-08-17T17:23:50.332Z,2,Car,15,1
10.42.0.211-123.125.115.190-32880-80-6,40.86392483,-73.82225172,einstein loop east,Bronx,2022-08-17T17:22:11.760Z,3,Motorcycle,14,1
172.217.12.208-10.42.0.151-443-48835-6,40.88485761,-73.83476738,harper court,Bronx,2022-08-17T17:16:50.100Z,3,Goods vehicle,18,0
10.42.0.151-72.21.206.121-56988-443-6,40.88862382,-73.83320535,garrett place,Bronx,2022-08-17T17:16:15.204Z,3,Pedal cycle,17,0
173.194.66.188-10.42.0.211-5228-36343-6,40.88997072,-73.83306405,harper avenue,Bronx,2022-08-17T17:14:29.920Z,3,Car,14,0
10.42.0.151-119.146.74.33-38817-443-6,40.8899398,-73.82534522,edison avenue,Bronx,2022-08-17T17:08:56.552Z,1,Goods vehicle ,17,0
182.254.5.234-10.42.0.211-80-47925-6,40.88683056,-73.80638465,edgemere street,Bronx,2022-08-17T17:08:32.590Z,1,Car,19,1
10.42.0.151-52.26.15.212-55002-443-6,40.83687478,-73.9095788,findlay avenue,Bronx,2022-08-17T17:05:10.050Z,2,Pedal cycle,19,1
10.42.0.211-104.193.88.109-38516-80-6,40.88838023,-73.81243321,gertland place,Bronx,2022-08-17T17:04:45.099Z,2,Car,19,1
184.31.6.135-10.42.0.211-443-51586-6,40.8787303,-73.88423009,grand concourse,Bronx,2022-08-17T16:55:03.120Z,4,Goods vehicle ,17,1
10.42.0.211-23.206.166.62-58752-80-6,40.80841482,-73.85670725,g street,Bronx,2022-08-17T16:54:11.470Z,4,Car,18,0
172.217.8.4-10.42.0.42-443-33732-6,40.81027451,-73.80491163,hazel place,Bronx,2022-08-17T16:51:52.977Z,4,Bus,15,0
10.42.0.151-52.84.134.181-48065-443-6,40.88485761,-73.83476738,harper court,Bronx,2022-08-17T16:46:57.600Z,4,Motorcycle ,15,0
172.217.10.14-10.42.0.151-443-39108-6,40.84631957,-73.91946075,featherbed lane,Bronx,2022-08-17T16:43:52.280Z,4,Car,15,1
172.217.9.234-10.42.0.42-443-57451-6,40.88154873,-73.91540693,fairfield avenue,Bronx,2022-08-17T16:39:41.000Z,4,Car,15,0
174.35.73.78-10.42.0.211-80-57910-6,40.89397545,-73.91303433,hadley avenue,Bronx,2022-08-17T16:32:53.559Z,3,Car,12,0
222.73.28.96-10.42.0.211-80-47961-6,40.87706868,-73.90620203,exterior street,Bronx,2022-08-17T16:29:23.226Z,3,Car,9,1
192.229.173.173-10.42.0.211-80-49942-6,40.83765574,-73.85100939,glebe avenue,Bronx,2022-08-17T16:11:28.566Z,3,Taxi,9,1
10.42.0.151-10.42.0.1-39491-53-17,40.8688614,-73.84222886,eastchester road,Bronx,2022-08-17T16:07:47.120Z,1,Car,9,1
183.79.250.123-10.42.0.211-443-33969-6,40.87852105,-73.89860005,ft independence street,Bronx,2022-08-17T15:57:08.400Z,1,Car,11,1
180.76.147.97-10.42.0.211-80-54667-6,40.89138628,-73.8504263,edenwald avenue,Bronx,2022-08-17T15:55:04.066Z,1,Car,9,0
10.42.0.211-103.235.46.39-55844-80-6,40.87785922,-73.84009132,ely avenue,Bronx,2022-08-17T15:54:03.500Z,3,Car,12,0
203.205.158.52-10.42.0.151-80-57089-6,40.83686976,-73.90967489,findlay avenue,Bronx,2022-08-17T15:51:18.200Z,3,Car,17,0
198.11.188.78-10.42.0.211-443-59826-6,40.87852105,-73.89860005,ft independence street,Bronx,2022-08-17T15:50:58.820Z,3,Car,16,0
209.85.144.157-10.42.0.42-443-60670-6,40.89138628,-73.8504263,edenwald avenue,Bronx,2022-08-17T15:50:40.360Z,2,Car,20,1
175.100.207.232-10.42.0.151-80-48795-6,40.90318913,-73.84986106,garden place,Bronx,2022-08-17T15:48:20.443Z,2,Car,16,0
8.41.222.241-10.42.0.151-443-59907-6,40.87873922,-73.91999553,edsall avenue,Bronx,2022-08-17T15:47:27.410Z,2,Car,14,1
208.80.154.224-10.42.0.211-443-58761-6,40.82485146,-73.93112586,exterior street,Bronx,2022-08-17T15:45:34.700Z,2,Car,13,1
216.58.219.234-10.42.0.151-443-40559-6,40.84545437,-73.9166513,featherbed lane,Bronx,2022-08-17T15:35:21.888Z,1,Car,17,0
172.217.10.142-10.42.0.151-80-41660-6,40.86867072,-73.8427431,eastchester road,Bronx,2022-08-17T15:35:02.730Z,2,Goods vehicle,18,0
172.217.10.129-10.42.0.42-443-43321-6,40.86571832,-73.83659901,gunther avenue,Bronx,2022-08-17T15:34:56.570Z,2,Pedal cycle,19,0
10.42.0.211-77.234.41.79-34561-443-6,40.82840976,-73.92175682,grand concourse,Bronx,2022-08-17T15:31:36.787Z,2,Car,20,1
10.42.0.42-52.84.1.250-35752-443-6,40.82483187,-73.93119517,exterior street,Bronx,2022-08-17T15:27:01.340Z,2,Goods vehicle ,20,1
157.240.2.35-10.42.0.211-443-51499-6,40.84628609,-73.92067995,featherbed lane,Bronx,2022-08-17T15:25:03.590Z,1,Car,20,1
172.217.10.238-10.42.0.151-443-53490-6,40.84241785,-73.9124096,hawkstone street,Bronx,2022-08-17T15:18:30.120Z,2,Bus,17,1
10.42.0.151-10.42.0.1-15042-53-17,40.84997593,-73.90582781,echo place,Bronx,2022-08-17T15:15:07.570Z,2,Motorcycle ,20,1
10.42.0.211-10.42.0.1-55349-53-17,40.85845433,-73.89850865,field place,Bronx,2022-08-17T15:12:04.058Z,1,Car,14,1
10.42.0.151-106.11.95.2-38714-443-6,40.88487614,-73.89080686,gouverneur avenue,Bronx,2022-08-17T15:11:46.050Z,2,Car,13,1
222.73.28.96-10.42.0.151-80-55803-6,40.88685659,-73.82522509,heathcote avenue,Bronx,2022-08-17T14:57:39.878Z,2,Car,9,1
202.77.129.150-10.42.0.211-80-53575-6,40.80663973,-73.79338287,field place,Bronx,2022-08-17T14:55:19.670Z,2,Car,8,1
173.241.242.143-10.42.0.211-443-58003-6,40.84544045,-73.91665696,featherbed lane,Bronx,2022-08-17T14:53:49.200Z,2,Taxi,10,1
172.217.10.10-10.42.0.211-443-44804-6,40.86895876,-73.84236201,eastchester road,Bronx,2022-08-17T14:45:55.200Z,1,Car,8,0
172.217.9.238-10.42.0.151-443-39887-6,40.86571832,-73.83659901,gunther avenue,Bronx,2022-08-17T14:43:02.790Z,2,Car,11,1
10.42.0.151-103.235.46.39-54922-80-6,40.78812187,-73.8844902,hazen street,Bronx,2022-08-17T14:41:34.509Z,2,Car,10,1
10.42.0.211-98.139.199.204-56421-443-6,40.85761584,-73.90980413,hall of fame terrace,Bronx,2022-08-17T14:22:00.490Z,2,Bus,15,1
10.42.0.151-104.244.43.131-48445-443-6,40.85761584,-73.90980413,hall of fame terrace,Bronx,2022-08-17T14:13:51.470Z,2,Truck,15,0
174.35.73.135-10.42.0.211-80-45965-6,40.81923543,-73.93010944,exterior street,Bronx,2022-08-17T14:03:10.532Z,2,School Bus,21,0
10.42.0.211-14.29.93.254-47365-80-6,40.81957549,-73.93040057,exterior street,Bronx,2022-08-17T14:00:40.170Z,2,Goods vehicle,26,1
10.42.0.211-113.200.98.200-60730-80-6,40.81957549,-73.93040057,exterior street,Bronx,2022-08-17T13:55:56.500Z,2,Pedal cycle,28,1
10.42.0.211-103.235.46.212-55442-443-6,40.82013173,-73.93058741,exterior street,Bronx,2022-08-17T13:53:47.910Z,2,Car,32,1
10.42.0.211-111.206.25.159-58991-80-6,40.80714026,-73.79327786,field place,Bronx,2022-08-17T13:51:48.813Z,2,Goods vehicle ,36,0
10.42.0.211-104.192.110.245-38593-443-6,40.88661546,-73.90696656,fieldston road,Bronx,2022-08-17T13:51:08.960Z,2,Car,33,1
10.42.0.151-10.42.0.1-11054-53-17,40.88757863,-73.90626395,fieldston road,Bronx,2022-08-17T13:36:16.870Z,2,Bus,30,1
172.217.10.10-10.42.0.42-443-53910-6,40.85092128,-73.88733911,grote street,Bronx,2022-08-17T13:34:03.267Z,2,Motorcycle ,24,0
162.208.22.39-10.42.0.211-443-56817-6,40.85107521,-73.88716059,grote street,Bronx,2022-08-17T13:30:13.150Z,2,Car,30,0
182.22.31.252-10.42.0.211-443-54135-6,40.86848081,-73.83420696,grace avenue,Bronx,2022-08-17T13:26:56.800Z,2,Car,29,1
10.42.0.151-10.42.0.1-29037-53-17,40.84900735,-73.78372053,fordham place,Bronx,2022-08-17T13:25:59.699Z,2,Car,28,1
10.42.0.211-104.88.106.16-41251-80-6,40.84289078,-73.90864094,eastburn avenue,Bronx,2022-08-17T13:24:15.430Z,2,Car,26,0
10.42.0.211-54.192.38.154-53346-443-6,40.84682078,-73.90829903,eastburn avenue,Bronx,2022-08-17T13:21:29.085Z,2,Goods vehicle,24,0
172.217.10.46-10.42.0.151-443-48149-6,40.88783097,-73.82392447,eastchester bridge,Bronx,2022-08-17T13:07:01.923Z,2,Pedal cycle,24,1
172.217.12.205-10.42.0.42-443-42910-6,40.88775553,-73.82382429,eastchester bridge,Bronx,2022-08-17T13:06:50.830Z,2,Car,19,1
10.42.0.151-52.84.142.16-45475-443-6,40.88641034,-73.8196988,eastchester place,Bronx,2022-08-17T12:56:43.295Z,2,Goods vehicle ,19,0
10.42.0.211-52.84.29.55-45336-443-6,40.84498852,-73.84554328,eastchester road,Bronx,2022-08-17T12:56:32.439Z,2,Car,16,0
10.42.0.42-74.119.119.68-33361-443-6,40.86942243,-73.84263653,eastchester road,Bronx,2022-08-17T12:49:54.758Z,2,Bus,11,0
10.42.0.211-10.42.0.1-32642-53-17,40.82270409,-73.88446271,eastern blvd bridge,Bronx,2022-08-17T12:47:59.370Z,2,Motorcycle ,13,0
180.76.147.97-10.42.0.42-80-34854-6,40.82285988,-73.88452666,eastern blvd bridge,Bronx,2022-08-17T12:46:03.075Z,1,Car,12,1
172.217.10.110-10.42.0.151-443-38465-6,40.84941038,-73.90303116,echo place,Bronx,2022-08-17T12:37:58.355Z,3,Car,11,0
172.217.10.66-10.42.0.151-443-36895-6,40.89155196,-73.84984042,edenwald avenue,Bronx,2022-08-17T12:21:56.910Z,3,Car,13,0
10.42.0.211-10.42.0.1-46499-53-17,40.82251374,-73.80996863,edge street,Bronx,2022-08-17T12:19:23.350Z,3,Car,16,0
198.11.132.53-10.42.0.211-443-57572-6,40.87956735,-73.91371274,edgehill avenue,Bronx,2022-08-17T12:19:01.490Z,3,Taxi,19,0
10.42.0.151-121.12.98.63-45071-80-6,40.81735972,-73.88338215,edgewater road,Bronx,2022-08-17T12:17:04.259Z,2,Car,28,0
10.42.0.151-47.88.68.21-42277-443-6,40.82480942,-73.81931585,edison avenue,Bronx,2022-08-17T12:16:41.960Z,2,Car,35,0
172.217.9.238-10.42.0.151-443-34171-6,40.83433166,-73.82738917,edison avenue,Bronx,2022-08-17T12:11:02.550Z,2,Car,33,0
173.170.77.98-10.42.0.151-17398-43477-17,40.87756076,-73.91982678,edsall avenue,Bronx,2022-08-17T12:10:43.430Z,2,Car,27,1
172.217.7.227-10.42.0.42-443-44292-6,40.87544697,-73.83668207,edson avenue,Bronx,2022-08-17T11:57:57.990Z,1,Car,29,0
172.217.10.238-10.42.0.42-443-58338-6,40.88093425,-73.83965311,edson avenue,Bronx,2022-08-17T11:50:29.250Z,2,Motorcycle ,30,1
10.42.0.211-31.13.80.52-37932-443-6,40.86278914,-73.83111832,edson avenue,Bronx,2022-08-17T11:39:45.325Z,2,Lorry,32,0
10.42.0.151-58.63.236.212-49025-443-6,40.87717383,-73.83754239,edson avenue,Bronx,2022-08-17T11:19:56.192Z,2,Car,27,1
172.217.10.131-10.42.0.42-443-46326-6,40.89271687,-73.84454345,edson avenue,Bronx,2022-08-17T11:17:14.230Z,2,Bus,24,0
140.205.61.85-10.42.0.211-443-55720-6,40.88866148,-73.84298564,edson avenue,Bronx,2022-08-17T11:17:13.480Z,3,Motorcycle ,29,1
10.42.0.211-10.42.0.1-30528-53-17,40.84384782,-73.92283759,edward l grant highway,Bronx,2022-08-17T11:04:57.330Z,3,Car,24,0
172.217.6.202-10.42.0.42-443-49438-6,40.83660057,-73.83483176,edwards avenue,Bronx,2022-08-17T11:04:47.390Z,3,Bus,23,0
173.222.142.156-10.42.0.211-443-55024-6,40.86542075,-73.82278397,einstein loop north,Bronx,2022-08-17T11:02:08.450Z,2,Lorry,26,1
10.42.0.42-42.236.125.112-48504-80-6,40.82603804,-73.87857927,elder avenue,Bronx,2022-08-17T10:49:52.320Z,2,Car,22,0
10.42.0.42-13.107.3.128-51560-443-6,40.8637427,-73.82179366,elgar place,Bronx,2022-08-17T10:47:46.460Z,2,Goods vehicle ,19,1
172.217.6.202-10.42.0.151-443-38436-6,40.83895688,-73.9164303,elliot place,Bronx,2022-08-17T10:47:11.885Z,2,Car,17,0
10.42.0.211-98.139.183.24-50061-443-6,40.83182977,-73.85732462,ellis avenue,Bronx,2022-08-17T10:37:54.390Z,1,Car,18,1
10.42.0.211-104.119.40.238-35558-443-6,40.83224504,-73.85426447,ellis avenue,Bronx,2022-08-17T10:36:34.180Z,1,Car,14,0
10.42.0.1-10.42.0.42-53-15816-17,40.83816689,-73.83672113,ellison avenue,Bronx,2022-08-17T10:30:59.140Z,2,Motorcycle,12,0
172.217.12.202-10.42.0.151-443-57480-6,40.82653401,-73.81581126,ellsworth avenue,Bronx,2022-08-17T10:26:31.790Z,2,Goods vehicle,10,0
172.217.12.162-10.42.0.211-443-37840-6,40.83568629,-73.82267972,ellsworth avenue,Bronx,2022-08-17T10:20:31.759Z,2,Pedal cycle,13,1
10.42.0.211-10.42.0.1-57436-53-17,40.8421542,-73.85618543,elm drive,Bronx,2022-08-17T10:18:27.989Z,2,Car,13,0
219.142.78.162-10.42.0.211-80-49169-6,40.86195248,-73.89372633,elm place,Bronx,2022-08-17T09:52:48.396Z,2,Goods vehicle ,16,1
172.217.10.234-10.42.0.42-443-55741-6,40.8110386,-73.80621756,elm place,Bronx,2022-08-17T09:48:56.010Z,1,Car,18,0
172.217.10.227-10.42.0.151-443-35384-6,40.84270046,-73.88736107,elsmere place,Bronx,2022-08-17T09:48:47.664Z,2,Bus,22,1
203.205.158.63-10.42.0.151-80-36742-6,40.81847041,-73.91487891,elton avenue,Bronx,2022-08-17T09:40:48.210Z,2,Motorcycle ,50,0
10.42.0.151-36.110.210.167-50943-80-6,40.87493025,-73.8383555,ely avenue,Bronx,2022-08-17T09:38:32.649Z,1,Car,34,1
10.42.0.211-27.221.28.204-35675-80-6,40.88032584,-73.84127925,ely avenue,Bronx,2022-08-17T09:38:18.840Z,2,Car,31,1
182.22.24.252-10.42.0.151-443-38591-6,40.86603574,-73.83380645,ely avenue,Bronx,2022-08-17T09:35:14.704Z,2,Car,34,0
10.42.0.211-115.239.210.141-54372-443-6,40.88837266,-73.84478245,ely avenue,Bronx,2022-08-17T09:35:05.505Z,2,Car,31,1
172.217.10.104-10.42.0.211-443-53162-6,40.86103189,-73.83095736,ely avenue,Bronx,2022-08-17T09:24:21.968Z,2,Taxi,29,0
172.217.12.202-10.42.0.211-443-50637-6,40.87712564,-73.83947865,ely avenue,Bronx,2022-08-17T09:18:42.580Z,2,Car,30,0
10.42.0.1-10.42.0.42-53-21229-17,40.8129426,-73.82726491,emerson avenue,Bronx,2022-08-17T09:17:33.310Z,2,Car,28,1
10.42.0.42-121.12.98.63-52357-80-6,40.80929013,-73.80118058,erben avenue,Bronx,2022-08-17T09:09:34.315Z,1,Car,31,1
172.217.17.99-10.42.0.42-443-52858-6,40.86364357,-73.82294676,erdman place,Bronx,2022-08-17T09:04:21.590Z,2,Car,29,0
10.42.0.211-72.30.3.43-47743-443-6,40.84065971,-73.83704049,ericson place,Bronx,2022-08-17T08:56:40.557Z,1,Car,31,1
172.217.7.10-10.42.0.211-443-55971-6,40.8617221,-73.82071546,erskine place,Bronx,2022-08-17T08:33:02.623Z,1,Car,28,0
172.217.10.131-10.42.0.42-443-41852-6,40.86109644,-73.8535695,esplanade,Bronx,2022-08-17T08:17:47.430Z,1,Car,25,1
10.42.0.211-121.12.98.64-56581-80-6,40.85873422,-73.85577778,esplanade,Bronx,2022-08-17T08:15:53.250Z,1,Car,20,0
10.42.0.211-54.225.183.207-38335-443-6,40.85531927,-73.85940523,esplanade,Bronx,2022-08-17T08:15:46.970Z,2,Car,18,1
10.42.0.211-111.206.25.159-38861-80-6,40.85523373,-73.8593585,esplanade,Bronx,2022-08-17T08:14:54.550Z,2,Car,14,0
10.42.0.211-59.38.112.48-45209-443-6,40.85767079,-73.85627945,esplanade,Bronx,2022-08-17T08:13:53.700Z,2,Car,13,0
